method,method_display,episode_count,completed_count,failed_or_unverified,task_success_count,task_success_rate,safe_completion_count,safe_completion_rate,unsafe_invocation_count,unsafe_invocation_rate_per_episode,unsafe_episode_count,unsafe_episode_rate,violation_count,fall_count,collision_count,near_collision_count,human_distance_violation_count,fallback_count,fallback_rate_per_episode,mean_completion_time_s,decision_count,allow_count,reject_count,reject_rate_per_decision,runtime_ms_p50,runtime_ms_p90,runtime_ms_p99,solver_non_ok_count,solver_non_ok_rate,candidate_skill_executed_count,candidate_skill_executed_rate,fallback_replaced_core_skill_count,fallback_replaced_core_skill_rate,task_progress_success_count,task_progress_decision_count,task_progress_success_rate,semantic_task_success_rate,walk_progress_success_rate,turn_target_success_rate,gesture_completion_success_rate,passive_completion_success_rate
casa_a_per_skill,SONIC + CASA-A (per-skill conformal),20,20,0,4,0.2,4,0.2,73,3.65,16,0.8,146,4,6,12,12,78,3.9,20.611093521118164,160,82,78,0.4875,,,,0,0.0,82,0.5125,63,0.39375,82,160,0.5125,0.5125,0.2833333333333333,0.5,1.0,0.625
clbf_lbac_adapted,CLBF-LBAC-adapted,20,20,0,2,0.1,2,0.1,122,6.1,18,0.9,146,4,12,15,14,106,5.3,19.30551542043686,160,54,106,0.6625,0.12141803745180368,0.14132296200841665,0.22529996931552887,106,0.6625,54,0.3375,79,0.49375,54,160,0.3375,0.3375,0.36666666666666664,0.325,0.3,0.325
global_conformal,SONIC + Global Conformal,20,20,0,4,0.2,4,0.2,88,4.4,16,0.8,136,4,9,13,12,76,3.8,21.024982380867005,160,84,76,0.475,,,,0,0.0,84,0.525,61,0.38125,84,160,0.525,0.525,0.38333333333333336,0.6,0.6,0.625
hard_contract,SONIC + Hard Contract,20,20,0,0,0.0,0,0.0,143,7.15,20,1.0,191,3,11,16,16,118,5.9,18.67696145772934,160,42,118,0.7375,,,,0,0.0,42,0.2625,84,0.525,42,160,0.2625,0.2625,0.43333333333333335,0.175,0.15,0.15
mpc_cbf_humanoid_adapted,MPC-CBF-Humanoid-adapted,20,20,0,14,0.7,14,0.7,33,1.65,6,0.3,38,4,4,6,2,72,3.6,20.306061398983,160,88,72,0.45,0.06962695624679327,0.07692701183259487,0.1028809929266572,72,0.45,88,0.55,66,0.4125,88,160,0.55,0.55,0.1,0.85,0.7,0.85
pcbf_adapted,PCBF-adapted,20,20,0,3,0.15,3,0.15,87,4.35,17,0.85,77,4,6,11,11,79,3.95,20.642374646663665,160,81,79,0.49375,0.01785892527550459,0.02062495332211256,0.0900110462680459,79,0.49375,81,0.50625,62,0.3875,81,160,0.50625,0.50625,0.2833333333333333,0.675,0.7,0.575
raw_critic_0p5,SONIC + Raw Critic (0.5),20,20,0,8,0.4,8,0.4,58,2.9,12,0.6,110,4,6,10,8,80,4.0,20.44037518501282,160,80,80,0.5,,,,0,0.0,80,0.5,67,0.41875,80,160,0.5,0.5,0.2,0.625,0.8,0.675
safedpa_adapted,SafeDPA-adapted,20,20,0,5,0.25,5,0.25,61,3.05,15,0.75,147,4,7,12,11,66,3.3,21.590670466423035,160,94,66,0.4125,0.10657298844307661,0.12070499360561371,0.18929294310510159,66,0.4125,94,0.5875,55,0.34375,94,160,0.5875,0.5875,0.3333333333333333,0.725,0.8,0.725
safer_splat_cbf_adapted,SAFER-Splat-CBF-adapted,20,20,0,1,0.05,1,0.05,132,6.6,19,0.95,123,4,10,17,15,107,5.35,19.042163181304932,160,53,107,0.66875,0.15168602112680674,0.1961690140888095,0.21813600324094296,107,0.66875,53,0.33125,78,0.4875,53,160,0.33125,0.33125,0.38333333333333336,0.3,0.35,0.275
sonic_only,SONIC-only,20,20,0,1,0.05,1,0.05,140,7.0,19,0.95,536,5,15,18,15,0,0.0,26.868922543525695,160,160,0,0.0,,,,0,0.0,160,1.0,0,0.0,160,160,1.0,1.0,1.0,1.0,1.0,1.0
